"01","36017","AL",
"01","36022","AL",
"01","36024","AL",
"01","36025","AL",
"01","36026","AL",
"01","36027","AL",
"01","36028","AL",
"01","36029","AL",
"01","36030","AL",
"01","36031","AL",
"01","36032","AL",
"01","36033","AL",
"01","36034","AL",
"01","36035","AL",
"01","36036","AL",
"01","36037","AL",
"01","36038","AL",
"01","36039","AL",
"01","36040","AL",
"01","36041","AL",
"01","36042","AL",
"01","36043","AL",
"01","36046","AL",
"01","36047","AL",
"01","36048","AL",
"01","36049","AL",
"01","36051","AL",
"01","36052","AL",
"01","36053","AL",
"01","36054","AL",
"01","36061","AL",
"01","36064","AL",
"01","36066","AL",
"01","36067","AL",
"01","36069","AL",
"01","36071","AL",
"01","36075","AL",
"01","36078","AL",
"01","36080","AL",
"01","36081","AL",
"01","36083","AL",
"01","36088","AL",
"01","36089","AL",
"01","36091","AL",
"01","36092","AL",
"01","36104","AL",
"01","36105","AL",
"01","36106","AL",
"01","36107","AL",
"01","36108","AL",
"01","36109","AL",
"01","36110","AL",
"01","36111","AL",
"01","36113","AL",
"01","36115","AL",
"01","36116","AL",
"01","36117","AL",
"01","36201","AL",
"01","36203","AL",
"01","36205","AL",
"01","36206","AL",
"01","36250","AL",
"01","36251","AL",
"01","36255","AL",
"01","36256","AL",
"01","36258","AL",
"01","36260","AL",
"01","36262","AL",
"01","36263","AL",
"01","36264","AL",
"01","36265","AL",
"01","36266","AL",
"01","36267","AL",
"01","36268","AL",
"01","36269","AL",
"01","36270","AL",
"01","36271","AL",
"01","36272","AL",
"01","36273","AL",
"01","36274","AL",
"01","36276","AL",
"01","36277","AL",
"01","36278","AL",
"01","36279","AL",
"01","36280","AL",
"01","36301","AL",
"01","36303","AL",
"01","36310","AL",
"01","36311","AL",
"01","36312","AL",
"01","36314","AL",
"01","36316","AL",
"01","36317","AL",
"01","36318","AL",
"01","36319","AL",
"01","36320","AL",
"01","36322","AL",
"01","36323","AL",
"01","36330","AL",
"01","36340","AL",
"01","36343","AL",
"01","36344","AL",
"01","36345","AL",
"01","36346","AL",
"01","36349","AL",
"01","36350","AL",
"01","36351","AL",
"01","36352","AL",
"01","36353","AL",
"01","36360","AL",
"01","36362","AL",
"01","36370","AL",
"01","36373","AL",
"01","36374","AL",
"01","36375","AL",
"01","36376","AL",
"01","36401","AL",
"01","36419","AL",
"01","36420","AL",
"01","36425","AL",
"01","36426","AL",
"01","36432","AL",
"01","36435","AL",
"01","36436","AL",
"01","36441","AL",
"01","36442","AL",
"01","36444","AL",
"01","36445","AL",
"01","36446","AL",
"01","36451","AL",
"01","36453","AL",
"01","36454","AL",
"01","36456","AL",
"01","36460","AL",
"01","36467","AL",
"01","36471","AL",
"01","36473","AL",
"01","36474","AL",
"01","36475","AL",
"01","36477","AL",
"01","36480","AL",
"01","36481","AL",
"01","36482","AL",
"01","36483","AL",
"01","36502","AL",
"01","36505","AL",
"01","36507","AL",
"01","36509","AL",
"01","36510","AL",
"01","36511","AL",
"01","36515","AL",
"01","36518","AL",
"01","36521","AL",
"01","36522","AL",
"01","36523","AL",
"01","36524","AL",
"01","36525","AL",
"01","36526","AL",
"01","36527","AL",
"01","36528","AL",
"01","36529","AL",
"01","36530","AL",
"01","36532","AL",
"01","36535","AL",
"01","36538","AL",
"01","36539","AL",
"01","36540","AL",
"01","36541","AL",
"01","36542","AL",
"01","36544","AL",
"01","36545","AL",
"01","36548","AL",
"01","36549","AL",
"01","36550","AL",
"01","36551","AL",
"01","36553","AL",
"01","36555","AL",
"01","36558","AL",
"01","36560","AL",
"01","36561","AL",
"01","36562","AL",
"01","36567","AL",
"01","36569","AL",
"01","36570","AL",
"01","36571","AL",
"01","36572","AL",
"01","36574","AL",
"01","36575","AL",
"01","36576","AL",
"01","36579","AL",
"01","36580","AL",
"01","36582","AL",
"01","36583","AL",
"01","36584","AL",
"01","36585","AL",
"01","36586","AL",
"01","36587","AL",
"01","36602","AL",
